MietpreisID;Ortsteil;Preis_Pro_m2
1;Adlershof;26.84
2;Alt-Hohenschönhausen;14.01
3;Altglienicke;17.39
4;Baumschulenweg;15.37
5;Biesdorf;21.1
6;Bohnsdorf;21.13
7;Britz;17.29
8;Buch;17.32
9;Buckow;16.1
10;Charlottenburg;25.88
11;Dahlem;24.07
12;Französisch Buchholz;14.26
13;Friedenau;19.35
14;Friedrichsfelde;24.16
15;Friedrichshagen;20.1
16;Friedrichshain;27.5
17;Gesundbrunnen;15.12
18;Grünau;18.14
19;Grunewald ;22.19
20;Hansaviertel;13.44
21;Haselhorst;17.14
22;Heiligensee;17.91
23;Heinersdorf;22.15
24;Hellersdorf;11.21
25;Hermsdorf;15.92
26;Johannisthal;18.16
27;Karlshorst;18.21
28;Karow;17.16
29;Kaulsdorf;14.86
30;Kladow;18.57
31;Konradshöhe;17
32;Köpenick;23.46
33;Kreuzberg;26.74
34;Lankwitz;21.01
35;Lichtenberg;22.98
36;Lichtenrade;20.37
37;Lichterfelde;18.6
38;Mahlsdorf;18.38
39;Mariendorf;22.46
40;Marienfelde;21.59
41;Marzahn;15.78
42;Mitte;28.02
43;Moabit;12.7
44;Neu-Hohenschönhausen;14.32
45;Neukölln;21.08
46;Niederschöneweide;18.34
47;Niederschönhausen;18.49
48;Nikolassee;18.79
49;Oberschöneweide;37.18
50;Pankow;23.25
51;Plänterwald;24.7
52;Prenzlauer Berg;26.01
53;Rahnsdorf;18.65
54;Reinickendorf;19.69
55;Rosenthal;20.98
56;Rudow;16.84
57;Rummelsburg;14.02
58;Schmargendorf;33.12
59;Schmöckwitz;28.2
60;Schöneberg;23.47
61;Siemensstadt;20.75
62;Spandau;17.79
63;Staaken;19.43
64;Steglitz;19.27
65;Tegel;19.04
66;Tempelhof;18.5
67;Tiergarten;27.39
68;Treptow;27.25
69;Waidmannslust;19.36
70;Wannsee;20.15
71;Wedding;28.42
72;Weißensee;15.16
73;Wilmersdorf;24.47
74;Wittenau;18.45
